'Agile Software Development','1','+1','£55,000','+4.76%','46,365 (30.56%)','8,348'
'Developer','2','-1','£50,000','+7.52%','43,782 (28.85%)','10,295'
'Finance','3','0','£60,000','+9.09%','31,241 (20.59%)','4,946'
'SQL','4','0','£48,875','+8.61%','30,295 (19.96%)','5,540'
'JavaScript','5','0','£50,000','+11.11%','26,299 (17.33%)','6,086'
'C#','6','0','£50,000','+11.11%','25,484 (16.79%)','4,924'
'Microsoft','7','-1','£45,000','+2.27%','25,442 (16.77%)','5,028'
'Java','8','0','£57,500','+4.54%','23,823 (15.70%)','4,320'
